Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
58318-73828,P,Dan,Dan Altavilla,Altavilla,3.5,2,5500,PIT@SD,SD,PIT,IL,Elbow,,,,P
58318-102500,P,Robert,Robert Dugger,Dugger,9,2,5500,BAL@SEA,SEA,BAL,,,,,,P
58318-116839,P,David,David Bednar,Bednar,5.166666666666667,12,5500,PIT@SD,PIT,SD,,,,,,P
58318-116847,P,Cole,Cole Sulser,Sulser,10.857142857142858,7,5500,BAL@SEA,BAL,SEA,,,,,,P
58318-135283,P,Ty,Ty Tice,Tice,8,2,5500,TOR@OAK,TOR,OAK,,,,,,P
58318-135289,P,Kodi,Kodi Whitley,Whitley,4.5,4,5500,NYM@STL,STL,NYM,,,,,,P
58318-135294,P,Sam,Sam Clay,Clay,3.7777777777777777,9,5500,ATL@WSH,WSH,ATL,,,,,0,P
58318-135292,P,Edwar,Edwar Colina,Colina,-8,1,5500,TEX@MIN,MIN,TEX,IL,Elbow,,,,P
58318-135303,P,Jordan,Jordan Weems,Weems,4,4,5500,TOR@OAK,OAK,TOR,,,,,,P
58318-102536,P,Nick,Nick Nelson,Nelson,7.166666666666667,6,5500,HOU@NYY,NYY,HOU,,,,,0,P
58318-73866,P,Wandy,Wandy Peralta,Peralta,4.7272727272727275,11,5500,HOU@NYY,NYY,HOU,,,,,0,P
58318-6290,P,Wade,Wade Davis,Davis,2.888888888888889,9,5500,CLE@KC,KC,CLE,,,,,0,P
